,model_power,model_power_max,numMods,numStrings,ref_power,stats,system_scale,trial,mismatch_loss,mismatch_loss_pmax,indices
0,7976.096473858435,7976.105924092294,8,3,7977.531832756102,"{0: {'vmp_p50': 53.39405704210094, 'imp_p50': 6.117618855416363, 'vmp_std': 0.3797197297563136, 'imp_std': 0.030211033121361565}, 1: {'vmp_p50': 53.26899318644211, 'imp_p50': 6.105707798308396, 'vmp_std': 0.39979387386794896, 'imp_std': 0.014664120002552896}, 2: {'vmp_p50': 53.76590731721066, 'imp_p50': 6.121811840560912, 'vmp_std': 0.30609093944823934, 'imp_std': 0.02754244509019411}}",Residential,0,-0.017992518585420107,-0.01787405796305017,"[array([34, 81, 88, 82, 52, 14, 70, 45]), array([90,  8, 41, 87, 73, 89, 44, 40]), array([ 9, 33, 91, 17, 45, 60, 20, 56])]"
1,7973.172035480295,7973.177980669994,8,3,7974.06872133101,"{0: {'vmp_p50': 53.723844607408594, 'imp_p50': 6.105334729054231, 'vmp_std': 0.30142897794909623, 'imp_std': 0.02307111598999824}, 1: {'vmp_p50': 53.922391889896176, 'imp_p50': 6.11251765881219, 'vmp_std': 0.2141061572131462, 'imp_std': 0.01102010944606364}, 2: {'vmp_p50': 53.26205082388126, 'imp_p50': 6.104986703892224, 'vmp_std': 0.48380646190837595, 'imp_std': 0.018292652118888326}}",Residential,1,-0.011245022861627815,-0.011170466322082876,"[array([41, 10, 48, 69, 42, 19, 78, 75]), array([64, 25, 78,  4, 26, 34, 83, 84]), array([93, 90, 14, 39,  2, 98, 94, 96])]"
2,7987.763603559928,7987.783818381282,8,3,7988.047804942336,"{0: {'vmp_p50': 53.833219579154715, 'imp_p50': 6.134588859904446, 'vmp_std': 0.2137112466892977, 'imp_std': 0.005507389145813777}, 1: {'vmp_p50': 53.976184396491675, 'imp_p50': 6.118066930703703, 'vmp_std': 0.18541185251025352, 'imp_std': 0.0066393846518498865}, 2: {'vmp_p50': 53.75300232709745, 'imp_p50': 6.120903748130238, 'vmp_std': 0.30593833276088067, 'imp_std': 0.01779909321337744}}",Residential,2,-0.003557832769009157,-0.0033047694192709694,"[array([ 5, 95, 57, 81,  6, 48, 37, 65]), array([47, 17, 26, 33, 57, 62, 63, 71]), array([11, 24, 50, 45, 10,  6, 57, 65])]"
3,7976.705874594211,7976.707394713685,8,3,7977.105471734281,"{0: {'vmp_p50': 53.66505045981141, 'imp_p50': 6.105334729054231, 'vmp_std': 0.3344613739149379, 'imp_std': 0.011653073168712275}, 1: {'vmp_p50': 53.99325273318411, 'imp_p50': 6.124200484531037, 'vmp_std': 0.23805332860947753, 'imp_std': 0.009245355848646976}, 2: {'vmp_p50': 53.54062922560129, 'imp_p50': 6.104723820925468, 'vmp_std': 0.37077123304462095, 'imp_std': 0.016917221143661655}}",Residential,3,-0.005009299945775002,-0.0049902439175058605,"[array([28, 69, 45, 51, 42, 18, 41, 93]), array([34, 84, 73, 55, 97, 87, 59, 99]), array([39, 32, 11, 21, 60, 14, 68, 67])]"
4,7974.772647527753,7974.789460102663,8,3,7975.7419238271605,"{0: {'vmp_p50': 53.724363131194686, 'imp_p50': 6.105334729054231, 'vmp_std': 0.24680623912547475, 'imp_std': 0.019096503597777228}, 1: {'vmp_p50': 53.76306586620605, 'imp_p50': 6.112173055176756, 'vmp_std': 0.2550050865471185, 'imp_std': 0.022425296396966835}, 2: {'vmp_p50': 53.5930861874408, 'imp_p50': 6.111810595366855, 'vmp_std': 0.34490918000288395, 'imp_std': 0.018785458736423254}}",Residential,4,-0.01215280419883717,-0.01194200782314942,"[array([56, 76, 64, 41,  8, 69, 52,  1]), array([51, 11, 10, 64, 62, 49, 95,  7]), array([69, 94, 10,  7, 98, 72,  6, 14])]"
5,7978.02745589158,7978.046351901975,8,3,7978.789339010111,"{0: {'vmp_p50': 53.5930861874408, 'imp_p50': 6.127154849142215, 'vmp_std': 0.3799926131496371, 'imp_std': 0.01790244984951972}, 1: {'vmp_p50': 53.752068140917956, 'imp_p50': 6.121116804550684, 'vmp_std': 0.322290407108471, 'imp_std': 0.010938551511766287}, 2: {'vmp_p50': 53.53135906737345, 'imp_p50': 6.10461841129186, 'vmp_std': 0.3941835484869689, 'imp_std': 0.022224640732791928}}",Residential,5,-0.009548856175534207,-0.009312028135687064,"[array([45, 84, 63, 92, 10, 98, 70, 67]), array([43, 70, 71, 92, 31, 22, 40, 56]), array([45, 47, 39, 10,  8,  2, 74, 93])]"
6,7980.509565340295,7980.523886981106,8,3,7980.8126888968,"{0: {'vmp_p50': 53.56704735129428, 'imp_p50': 6.124190086147874, 'vmp_std': 0.32838206334034475, 'imp_std': 0.010392547403987248}, 1: {'vmp_p50': 53.83317734556892, 'imp_p50': 6.112666898407974, 'vmp_std': 0.2597460577340148, 'imp_std': 0.010799303831750314}, 2: {'vmp_p50': 53.72664012376367, 'imp_p50': 6.11919262816175, 'vmp_std': 0.269916489404107, 'imp_std': 0.005462823406525152}}",Residential,6,-0.003798154001617648,-0.0036187030939255523,"[array([63, 34,  1, 89,  3, 35, 76, 38]), array([72, 93,  5,  6, 21, 18, 48, 24]), array([92, 74, 80, 78, 54,  4, 99, 62])]"
7,7980.445244131132,7980.4554562435,8,3,7981.20168506626,"{0: {'vmp_p50': 53.73127957044009, 'imp_p50': 6.105561422986341, 'vmp_std': 0.26529119792307826, 'imp_std': 0.014983532810573404}, 1: {'vmp_p50': 53.89628576990593, 'imp_p50': 6.120903748130238, 'vmp_std': 0.2998110256953864, 'imp_std': 0.021056973066264785}, 2: {'vmp_p50': 53.26899318644211, 'imp_p50': 6.105447607598866, 'vmp_std': 0.4196361202662881, 'imp_std': 0.01658050477493586}}",Residential,7,-0.009477782481595464,-0.009349830416602459,"[array([52, 13, 41, 44, 59, 17, 88,  7]), array([93, 11, 79, 17, 45, 94, 43, 83]), array([90,  4, 63, 51, 70, 76, 41, 91])]"
8,7959.7305243424125,7959.74411202208,8,3,7960.917087958816,"{0: {'vmp_p50': 53.269998031354355, 'imp_p50': 6.121116804550684, 'vmp_std': 0.372725954892916, 'imp_std': 0.009644316198383152}, 1: {'vmp_p50': 53.96502559725112, 'imp_p50': 6.11487337322881, 'vmp_std': 0.2630401492068031, 'imp_std': 0.010560473044064536}, 2: {'vmp_p50': 53.26899318644211, 'imp_p50': 6.105561422986341, 'vmp_std': 0.3507964802986874, 'imp_std': 0.015021204823484905}}",Residential,8,-0.014904860875873146,-0.014734181046935696,"[array([ 2, 90, 89, 15, 31, 25, 63, 40]), array([26, 58, 32, 84, 99, 11, 48, 52]), array([52, 15, 71, 41,  6, 19, 90, 59])]"
9,7989.803306521562,7989.823110347585,8,3,7990.898708763243,"{0: {'vmp_p50': 53.629311154246054, 'imp_p50': 6.108960591053898, 'vmp_std': 0.33390978753422473, 'imp_std': 0.01776075007712039}, 1: {'vmp_p50': 53.757120606834675, 'imp_p50': 6.130329768871828, 'vmp_std': 0.23750395947257225, 'imp_std': 0.02178510548636247}, 2: {'vmp_p50': 53.38660880471348, 'imp_p50': 6.115405593589293, 'vmp_std': 0.3976043014751382, 'imp_std': 0.029230065016309464}}",Residential,9,-0.013708123223731798,-0.013460293452086616,"[array([77, 96, 17, 16, 46, 81, 21, 84]), array([ 5, 86, 79, 91, 13, 10, 73, 89]), array([58, 14,  1, 38, 93, 36, 24, 82])]"
10,7974.453918131047,7974.46494044392,8,3,7974.994606114084,"{0: {'vmp_p50': 53.66505045981141, 'imp_p50': 6.105614971617725, 'vmp_std': 0.24137149182889925, 'imp_std': 0.015007465801819721}, 1: {'vmp_p50': 53.666592605701965, 'imp_p50': 6.112530839934958, 'vmp_std': 0.277072506252159, 'imp_std': 0.016010301966640474}, 2: {'vmp_p50': 53.629068605158196, 'imp_p50': 6.1275750590383415, 'vmp_std': 0.3277199539363996, 'imp_std': 0.008392866689496813}}",Residential,10,-0.0067797912066502,-0.006641580293456881,"[array([28, 25,  1, 57, 41, 80, 37, 44]), array([29, 70, 95, 44, 64, 28, 67, 49]), array([87, 37, 89, 13, 14, 94,  6, 77])]"
11,7984.661423699654,7984.672892267534,8,3,7985.337873716451,"{0: {'vmp_p50': 53.59360471122689, 'imp_p50': 6.123985182532076, 'vmp_std': 0.3713499268908453, 'imp_std': 0.00916929324911247}, 1: {'vmp_p50': 53.79177389365951, 'imp_p50': 6.11528920209374, 'vmp_std': 0.22989059060288553, 'imp_std': 0.027490758716236664}, 2: {'vmp_p50': 53.75821158374722, 'imp_p50': 6.119016688851358, 'vmp_std': 0.2585144102837114, 'imp_std': 0.01253722224992644}}",Residential,11,-0.008471150845400146,-0.00832753052448987,"[array([50, 92, 19, 93, 75, 98, 61, 56]), array([ 9,  5, 63, 91, 54, 44, 58, 36]), array([32, 38, 80, 44, 60, 91, 86, 36])]"
