,model_power,model_power_max,numMods,numStrings,ref_power,stats,system_scale,trial,mismatch_loss,mismatch_loss_pmax,indices
10,8000.0588969418895,8000.067959960254,8,3,8000.672221817202,"{0: {'vmp_p50': 54.28360438443116, 'imp_p50': 6.127412156261468, 'vmp_std': 0.0501806289197124, 'imp_std': 0.009301517252817974}, 1: {'vmp_p50': 53.59982468922706, 'imp_p50': 6.119398631873522, 'vmp_std': 0.26390875852081036, 'imp_std': 0.020061113131163332}, 2: {'vmp_p50': 53.833219579154715, 'imp_p50': 6.119283400136177, 'vmp_std': 0.2309594217268241, 'imp_std': 0.011405089969712037}}",Residential,10,-0.007665916791837627,-0.0075526385807978425,"[array([ 7, 36, 21,  8, 91, 75, 71, 95]), array([99, 80, 85, 79, 25, 65, 98, 94]), array([42,  6, 89, 80, 86, 36, 16, 81])]"
11,7968.504620029588,7968.520141336794,8,3,7969.236119901833,"{0: {'vmp_p50': 53.61487431752933, 'imp_p50': 6.121907366534949, 'vmp_std': 0.2843608340834172, 'imp_std': 0.008717177466454732}, 1: {'vmp_p50': 53.2668956655417, 'imp_p50': 6.117397793359854, 'vmp_std': 0.399474149367145, 'imp_std': 0.009577807885513828}, 2: {'vmp_p50': 53.38141004376257, 'imp_p50': 6.126695191144816, 'vmp_std': 0.3951326923894933, 'imp_std': 0.02863588481636419}}",Residential,11,-0.009179046287989495,-0.00898428098084816,"[array([27, 48, 99, 63, 94, 37, 73, 60]), array([52, 45, 28, 25, 90, 66, 47,  6]), array([82, 94, 72, 27, 33, 86, 61, 24])]"
12,7949.139457718852,7949.160408307033,8,3,7949.892690890487,"{0: {'vmp_p50': 53.72126998478503, 'imp_p50': 6.114477156648262, 'vmp_std': 0.2820781386261582, 'imp_std': 0.02833858714415031}, 1: {'vmp_p50': 53.720793805996784, 'imp_p50': 6.12165098621101, 'vmp_std': 0.3007085850689, 'imp_std': 0.009955692892291432}, 2: {'vmp_p50': 53.09346353641216, 'imp_p50': 6.092703593434162, 'vmp_std': 0.36697591878914104, 'imp_std': 0.015483568858248047}}",Residential,12,-0.009474758980053297,-0.009211226011800423,"[array([17, 73, 22, 74, 51, 56,  9, 20]), array([40, 13, 78, 22, 74, 56, 97, 14]), array([44,  2, 60, 62, 25, 12, 78, 23])]"
13,7981.718379665906,7981.72488446473,8,3,7981.986484177081,"{0: {'vmp_p50': 53.72419023665423, 'imp_p50': 6.1174416157997875, 'vmp_std': 0.3425850243503545, 'imp_std': 0.009051026162618374}, 1: {'vmp_p50': 53.77527275561922, 'imp_p50': 6.1239919268176966, 'vmp_std': 0.2519681555071931, 'imp_std': 0.008557093090565196}, 2: {'vmp_p50': 53.72973327017333, 'imp_p50': 6.105571149177791, 'vmp_std': 0.2833589349772177, 'imp_std': 0.013021378091464928}}",Residential,13,-0.0033588695208552144,-0.0032773760375286952,"[array([63, 52, 74, 32, 80, 22, 11, 65]), array([45, 21, 20, 94, 25, 56, 81, 89]), array([50, 73, 78, 47, 92, 44, 41,  0])]"
14,7974.159769261068,7974.180681998058,8,3,7974.524577944801,"{0: {'vmp_p50': 53.631592819741826, 'imp_p50': 6.120714735762675, 'vmp_std': 0.322226364002528, 'imp_std': 0.015412759281718029}, 1: {'vmp_p50': 53.75123638868339, 'imp_p50': 6.118131736684983, 'vmp_std': 0.2670814877624049, 'imp_std': 0.008734629803976815}, 2: {'vmp_p50': 53.58859118198186, 'imp_p50': 6.127554130359597, 'vmp_std': 0.36872682513932753, 'imp_std': 0.009187494155651907}}",Residential,14,-0.0045746762727746915,-0.004312431962328484,"[array([62, 19, 60, 53, 71, 11, 50, 43]), array([38, 15, 89, 47, 66, 61, 88, 55]), array([38, 98, 54, 99, 36, 63, 84, 77])]"
15,7946.477608343474,7946.485002779629,8,3,7947.752695169667,"{0: {'vmp_p50': 53.26330672078248, 'imp_p50': 6.114259740533762, 'vmp_std': 0.3870189388133841, 'imp_std': 0.008599104455177775}, 1: {'vmp_p50': 53.527221718638316, 'imp_p50': 6.104517478584465, 'vmp_std': 0.24025931518963256, 'imp_std': 0.010036626697585475}, 2: {'vmp_p50': 53.940163951839466, 'imp_p50': 6.121001383630746, 'vmp_std': 0.22305703713616243, 'imp_std': 0.011022349082878824}}",Residential,15,-0.01604336313796825,-0.0159503250624358,"[array([51, 27, 73, 90, 26, 49, 47,  3]), array([27, 15, 17, 77, 58, 56, 52, 39]), array([76, 26, 89, 35, 42, 37, 91, 11])]"
16,7966.071402778919,7966.086515995633,8,3,7967.599087527025,"{0: {'vmp_p50': 53.75675461387738, 'imp_p50': 6.111368579859615, 'vmp_std': 0.24195126033231834, 'imp_std': 0.023664201355184187}, 1: {'vmp_p50': 53.26899318644211, 'imp_p50': 6.105939441778156, 'vmp_std': 0.38466824892944723, 'imp_std': 0.014043039308583437}, 2: {'vmp_p50': 53.53366252457664, 'imp_p50': 6.1043819911682995, 'vmp_std': 0.2515424916936487, 'imp_std': 0.035367945213932404}}",Residential,16,-0.01917371508435834,-0.018984031635833298,"[array([67,  8, 24, 38, 69, 34, 79, 33]), array([41,  6, 57, 21, 37, 90, 97, 88]), array([ 2, 83, 79, 31, 39, 22, 69,  9])]"
17,7980.269435070634,7980.2902981781535,8,3,7981.383134473717,"{0: {'vmp_p50': 53.6185103931584, 'imp_p50': 6.126636439731731, 'vmp_std': 0.25480735961755235, 'imp_std': 0.011016821424815713}, 1: {'vmp_p50': 53.62643510875319, 'imp_p50': 6.111284166933711, 'vmp_std': 0.25875929049724816, 'imp_std': 0.02296629533063555}, 2: {'vmp_p50': 53.7609051241235, 'imp_p50': 6.124110038758033, 'vmp_std': 0.26257480075886763, 'imp_std': 0.017286183511885454}}",Residential,17,-0.013953714341474004,-0.013692317198049371,"[array([23, 27, 95, 50,  7,  5, 76, 49]), array([40, 68, 49, 86, 77, 69, 79, 38]), array([71, 42, 10, 91, 44, 92, 14, 34])]"
18,7981.529526911739,7981.549483442792,8,3,7982.319839272448,"{0: {'vmp_p50': 53.63298162843142, 'imp_p50': 6.121934042168223, 'vmp_std': 0.2693200184809063, 'imp_std': 0.009053956139638168}, 1: {'vmp_p50': 53.594314958072246, 'imp_p50': 6.115312230514529, 'vmp_std': 0.3314905478363108, 'imp_std': 0.026840593306408384}, 2: {'vmp_p50': 53.9484000145927, 'imp_p50': 6.111267721841819, 'vmp_std': 0.1848556515569277, 'imp_std': 0.015357682545104655}}",Residential,18,-0.009900785443613037,-0.009650776280174671,"[array([60, 83, 44, 95, 77, 72, 35, 62]), array([97,  0, 93, 24,  9, 58, 35, 98]), array([86, 72, 23, 69, 36, 89, 37, 31])]"
19,7976.453131217357,7976.472730887787,8,3,7979.227679431158,"{0: {'vmp_p50': 53.087574873647426, 'imp_p50': 6.092324690084404, 'vmp_std': 0.4410612108716452, 'imp_std': 0.0365801584179305}, 1: {'vmp_p50': 53.38660880471348, 'imp_p50': 6.121919175754551, 'vmp_std': 0.3045975601101654, 'imp_std': 0.0300393346149743}, 2: {'vmp_p50': 54.06541052299587, 'imp_p50': 6.120903748130238, 'vmp_std': 0.17755249915456764, 'imp_std': 0.011097001840860831}}",Residential,19,-0.03477213992719916,-0.03452650624912899,"[array([10, 69, 93, 89, 49, 12,  9, 60]), array([82, 17, 66, 75, 60, 55, 43, 38]), array([81, 45, 87, 63, 11, 86, 21, 19])]"
20,7967.886913394366,7967.899767722383,8,3,7968.772685638156,"{0: {'vmp_p50': 53.2668956655417, 'imp_p50': 6.124492670038825, 'vmp_std': 0.3844329125911729, 'imp_std': 0.026975264904937814}, 1: {'vmp_p50': 53.720738186642976, 'imp_p50': 6.1267768181695565, 'vmp_std': 0.3234222653138702, 'imp_std': 0.009907037412991466}, 2: {'vmp_p50': 53.56135559236914, 'imp_p50': 6.111587047280537, 'vmp_std': 0.30908985385463483, 'imp_std': 0.011607427511151716}}",Residential,20,-0.011115541611396256,-0.010954232856282399,"[array([90, 37, 84, 17, 28, 89,  9, 96]), array([45, 86, 22, 38, 21, 74, 48, 36]), array([99, 98, 97, 73, 87,  3, 69, 57])]"
21,7967.290733117697,7967.309953130691,8,3,7968.271853892587,"{0: {'vmp_p50': 53.72383133305263, 'imp_p50': 6.105614971617725, 'vmp_std': 0.2847237864995085, 'imp_std': 0.017064594025366704}, 1: {'vmp_p50': 53.67594306272172, 'imp_p50': 6.114926921860194, 'vmp_std': 0.2512227664378468, 'imp_std': 0.008718874154177863}, 2: {'vmp_p50': 53.079670011172176, 'imp_p50': 6.092087883112494, 'vmp_std': 0.47618445530250203, 'imp_std': 0.02907445770283771}}",Residential,21,-0.01231284264493914,-0.012071635851966913,"[array([80,  7,  6,  8, 83, 76, 41, 38]), array([45, 99, 73, 72, 58, 80, 49, 28]), array([ 2, 39, 12, 79, 78,  0, 21, 70])]"
22,7961.948263168642,7961.955647425244,8,3,7962.415054330429,"{0: {'vmp_p50': 53.27257590840555, 'imp_p50': 6.128218943450928, 'vmp_std': 0.4435880766358215, 'imp_std': 0.018992293063242315}, 1: {'vmp_p50': 53.56256562019131, 'imp_p50': 6.127509055906934, 'vmp_std': 0.351370675630724, 'imp_std': 0.006208011235341136}, 2: {'vmp_p50': 53.26330672078248, 'imp_p50': 6.105691353216504, 'vmp_std': 0.48677564030695974, 'imp_std': 0.013281812967034451}}",Residential,22,-0.00586243192048041,-0.005769693014617448,"[array([84, 59, 54, 90, 79, 32, 87,  6]), array([ 6, 59, 77, 38, 61,  3, 84, 72]), array([70, 31,  3, 16, 41, 93, 90, 25])]"
